iter	Logloss
0	0.6418687429
1	0.5976868006
2	0.5729217528
3	0.5597910779
4	0.5487959044
5	0.5358893946
6	0.5290009907
7	0.5231317588
8	0.5183325092
9	0.5148031246
10	0.5099611699
11	0.5075514485
12	0.5030619652
13	0.5016300374
14	0.5007277503
15	0.4996757013
16	0.4988420684
17	0.4979320047
18	0.4971674568
19	0.4965935783
20	0.4960042778
21	0.4956158547
22	0.4953317506
23	0.4948308725
24	0.4937783388
25	0.4935520023
26	0.493419502
27	0.493248504
28	0.4925944362
29	0.4923980464
30	0.4923123197
31	0.4921881581
32	0.4919789705
33	0.4917084735
34	0.491583466
35	0.4908749028
36	0.4907451625
37	0.4906541294
38	0.4905694619
39	0.4900482181
40	0.489931868
41	0.4898019846
42	0.4897547659
43	0.489660992
44	0.4895807035
45	0.4895137144
46	0.4894320141
47	0.4893840933
48	0.4893217059
49	0.4892609992
50	0.4892187359
51	0.4891618398
52	0.4889733979
53	0.4889265305
54	0.4886325103
55	0.488589256
56	0.4885162574
57	0.4884693776
58	0.4884184979
59	0.4883628841
60	0.4883080914
61	0.488248031
62	0.4882116069
63	0.4881612838
64	0.4881309834
65	0.4880679684
66	0.4880178832
67	0.4879797456
68	0.4879284634
69	0.4878829769
70	0.4878761244
71	0.4878409283
72	0.4878093147
73	0.4877787116
74	0.4877306765
75	0.4876968247
76	0.4876690641
77	0.487645261
78	0.487618182
79	0.4875817034
80	0.4875434714
81	0.4875111958
82	0.4874947666
83	0.4874616759
84	0.487381043
85	0.4873569213
86	0.4873347412
87	0.4872909642
88	0.4872571344
89	0.487228777
90	0.4871985525
91	0.4871747201
92	0.4871432543
93	0.4870804428
94	0.4870590496
95	0.4870164274
96	0.4869863899
97	0.4869539645
98	0.4869373874
99	0.4869054552
100	0.4868870588
101	0.4868686268
102	0.4868345064
103	0.4868041469
104	0.4867690626
105	0.4867335597
106	0.4866890418
107	0.486677669
108	0.4866400235
109	0.4866067006
110	0.4865767749
111	0.4865516948
112	0.4865226033
113	0.4865059649
114	0.4864844135
115	0.4864658365
116	0.4864444382
117	0.4864024154
118	0.4863688489
119	0.486335915
120	0.4863062113
121	0.4862506625
122	0.4862180896
123	0.4861911156
124	0.4861478391
125	0.4861257576
126	0.48609882
127	0.4860573419
128	0.4860229223
129	0.4859967508
130	0.4859529132
131	0.4859182915
132	0.4858757322
133	0.4858413361
134	0.4858110884
135	0.4857836326
136	0.4857539923
137	0.4857083786
138	0.4856741833
139	0.4856354662
140	0.4856111837
141	0.4856086696
142	0.4855712533
143	0.4855362348
144	0.4855021842
145	0.4854650864
146	0.485424571
147	0.4853866858
148	0.485353938
149	0.4853039794
150	0.4852700451
151	0.485252606
152	0.4852144284
153	0.4851732849
154	0.4851389141
155	0.4851039141
156	0.4849164259
157	0.4848936261
158	0.4848679214
159	0.4848421505
160	0.4848133155
161	0.4847730144
162	0.4847443612
163	0.4847111275
164	0.4846762717
165	0.4846489203
166	0.4846446484
167	0.4846199702
168	0.4845881066
169	0.4845538227
170	0.4845233068
171	0.4844934405
172	0.484482427
173	0.4844483754
174	0.4844320076
175	0.4844239649
176	0.4843833347
177	0.4843608914
178	0.4843329553
179	0.484321691
180	0.4842975977
181	0.4842940355
182	0.4842695088
183	0.4842357906
184	0.4842346738
185	0.4841978415
186	0.4841691132
187	0.4841674331
188	0.4841374343
189	0.4841063241
190	0.4840890434
191	0.4840575828
192	0.4840557742
193	0.4840545876
194	0.4840414176
195	0.4840123812
196	0.4839781862
197	0.4839510859
198	0.4839261628
199	0.4838979153
200	0.4838688109
201	0.483831063
202	0.4838067189
203	0.4837806641
204	0.4837539706
205	0.4837232189
206	0.4836848488
207	0.4836462595
208	0.4836148129
209	0.4835976111
210	0.4835704743
211	0.4835377954
212	0.4835066046
213	0.4834782196
214	0.4834527604
215	0.4834249933
216	0.4833895088
217	0.4833735282
218	0.4833677865
219	0.4833378502
220	0.483306251
221	0.4832835793
222	0.4832611879
223	0.4832304364
224	0.4831916936
225	0.4831543077
226	0.4831355059
227	0.483109862
228	0.4830771979
229	0.4830605373
230	0.4830308475
231	0.4830025229
232	0.4829812307
233	0.4829462656
234	0.4829095803
235	0.482877676
236	0.4828390325
237	0.4828209219
238	0.4828027834
239	0.4827948479
240	0.4827739021
241	0.4827485422
242	0.482725274
243	0.4827085361
244	0.4826887757
245	0.4826532984
246	0.4825920405
247	0.4825620098
248	0.4825404907
249	0.4825388257
250	0.4825292734
251	0.4825108802
252	0.4824915789
253	0.4824712604
254	0.4824405841
255	0.4824168849
256	0.4823813684
257	0.4823583969
258	0.4823368364
259	0.4823028551
260	0.4822872976
261	0.4822554716
262	0.4822269959
263	0.4821925634
264	0.4821674127
265	0.4821428522
266	0.4821201102
267	0.482086868
268	0.4820652696
269	0.4820504784
270	0.4820415974
271	0.4820076834
272	0.481973475
273	0.48194602
274	0.4819270835
275	0.481925667
276	0.4819045519
277	0.48188687
278	0.4818664824
279	0.4818297682
280	0.4818286014
281	0.4818141742
282	0.4817891907
283	0.4817672157
284	0.4817356452
285	0.4817152315
286	0.481695781
287	0.481675036
