iter	Passed	Remaining
409	4139	5956
410	4148	5945
411	4158	5935
412	4170	5927
413	4180	5917
414	4189	5906
415	4199	5895
416	4209	5884
417	4219	5875
418	4230	5865
419	4240	5856
420	4249	5844
421	4260	5835
422	4270	5825
423	4279	5814
424	4289	5803
425	4299	5792
426	4309	5782
427	4319	5772
428	4329	5762
429	4341	5754
430	4351	5744
431	4361	5734
432	4372	5725
433	4382	5714
434	4391	5703
435	4401	5693
436	4410	5682
437	4420	5672
438	4430	5661
439	4439	5650
440	4448	5639
441	4458	5628
442	4467	5617
443	4478	5607
444	4489	5598
445	4498	5587
446	4508	5578
447	4516	5564
448	4524	5552
449	4534	5542
450	4543	5531
451	4552	5519
452	4561	5507
453	4569	5495
454	4578	5483
455	4588	5473
456	4597	5462
457	4607	5452
458	4618	5443
459	4628	5432
460	4637	5422
461	4647	5411
462	4657	5401
463	4667	5391
464	4674	5378
465	4683	5366
466	4693	5356
467	4702	5346
468	4712	5334
469	4721	5324
470	4731	5314
471	4741	5304
472	4751	5294
473	4762	5284
474	4772	5274
475	4782	5264
476	4791	5253
477	4801	5243
478	4811	5233
479	4821	5223
480	4829	5211
481	4840	5201
482	4849	5191
483	4860	5181
484	4869	5170
485	4878	5159
486	4888	5150
487	4898	5139
488	4908	5128
489	4917	5118
490	4926	5107
491	4936	5096
492	4944	5085
493	4954	5074
494	4963	5064
495	4973	5053
496	4982	5042
497	4992	5032
498	5001	5021
499	5011	5011
500	5021	5001
501	5030	4990
502	5040	4980
503	5050	4970
504	5060	4959
505	5069	4949
506	5078	4938
507	5088	4928
508	5098	4917
509	5107	4906
510	5116	4896
511	5126	4885
512	5135	4875
513	5146	4866
514	5155	4855
515	5164	4843
516	5173	4833
517	5183	4823
518	5192	4812
519	5202	4801
520	5211	4791
521	5223	4783
522	5232	4772
523	5242	4762
524	5252	4752
525	5262	4742
526	5271	4731
527	5280	4720
528	5290	4710
529	5299	4699
530	5308	4689
531	5319	4679
532	5329	4669
533	5339	4659
534	5349	4649
535	5359	4639
536	5369	4629
537	5379	4619
538	5388	4609
539	5398	4599
540	5408	4589
541	5418	4578
542	5428	4569
543	5438	4558
544	5448	4548
545	5457	4537
546	5466	4527
547	5476	4516
548	5486	4506
549	5494	4495
550	5504	4485
551	5514	4475
552	5524	4465
553	5535	4456
554	5545	4446
555	5554	4435
556	5564	4425
557	5574	4415
558	5583	4405
559	5594	4395
560	5604	4386
561	5615	4376
562	5624	4366
563	5635	4356
564	5645	4346
565	5656	4337
566	5665	4326
567	5674	4316
568	5684	4305
569	5693	4295
570	5703	4285
571	5710	4273
572	5720	4262
573	5730	4252
574	5739	4242
575	5749	4231
576	5757	4220
577	5767	4210
578	5776	4200
579	5783	4188
580	5793	4177
581	5803	4168
582	5813	4157
583	5823	4148
584	5830	4136
585	5839	4125
